prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-45-01,21303295,-16490,248,210,-23,-3,-3
FF-0F-46-01,21368831,-16514,244,170,-23,-3,-3
FF-0F-47-01,21434367,-16380,298,164,-24,-3,-5
FF-0F-48-01,21499903,-16474,290,232,-24,-3,-5
FF-0F-49-01,21565439,-16530,232,100,-24,-3,-5
FF-0F-4A-01,21630975,-16550,256,46,-25,0,-15
FF-0F-4B-01,21696511,-16526,222,190,-25,0,-15
FF-0F-4C-01,21762047,-16422,200,212,-26,6,-21
FF-0F-4D-01,21827583,-16490,248,120,-26,6,-21
FF-0F-4E-01,21893119,-16506,228,20,-25,-4,-11
FF-0F-4F-01,21958655,-16506,230,86,-25,-4,-11
FF-0F-50-01,22024191,-16476,218,214,-23,-13,3
FF-0F-51-01,22089727,-16496,230,140,-23,-13,3
FF-0F-52-01,22155263,-16560,268,150,-23,-5,-2
FF-0F-53-01,22220799,-16518,280,128,-23,-5,-2
