acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13561,-1466,-12,16720
4095,4095,13562,-1504,-38,16722
4095,4095,13562,-1504,-38,16722
4095,4095,13563,-1474,32,16640
4095,4095,13563,-1474,32,16640
4095,4095,13564,-1508,-6,16712
4095,4095,13564,-1508,-6,16712
4095,4095,13565,-1510,-38,16798
4095,4095,13565,-1510,-38,16798
4095,4095,13566,-1436,12,16622
4095,4095,13566,-1436,12,16622
4095,4095,13567,-1462,-4,16682
4095,4095,13567,-1462,-4,16682
4095,4095,13568,-1412,-38,16732
4095,4095,13568,-1412,-38,16732
4095,4095,13569,-1450,-30,16768
4095,4095,13569,-1450,-30,16768
4095,4095,13570,-1488,-24,16704
4095,4095,13570,-1488,-24,16704
4095,4095,13571,-1494,-8,16818
4095,4095,13571,-1494,-8,16818
4095,4095,13572,-1440,-4,16710
4095,4095,13572,-1440,-4,16710
4095,4095,13573,-1430,-54,16722
4095,4095,13573,-1430,-54,16722
4095,4095,13574,-1488,-14,16884
4095,4095,13574,-1488,-14,16884
4095,4095,13575,-1470,2,16886
4095,4095,13575,-1470,2,16886
4095,4095,13576,-1444,-42,16380
4095,4095,13576,-1444,-42,16380
4095,4095,13577,-1456,-18,16558
4095,4095,13577,-1456,-18,16558
4095,4095,13578,-1488,-46,16634
4095,4095,13578,-1488,-46,16634
4095,4095,13579,-1460,-4,16702
4095,4095,13579,-1460,-4,16702
4095,4095,13580,-1474,-32,16710
4095,4095,13580,-1474,-32,16710
4095,4095,13581,-1460,6,16694
4095,4095,13581,-1460,6,16694
4095,4095,13582,-1472,-18,16760
4095,4095,13582,-1472,-18,16760
4095,4095,13583,-1478,-50,16812
4095,4095,13583,-1478,-50,16812
4095,4095,13584,-1444,16,16628
4095,4095,13584,-1444,16,16628
4095,4095,13585,-1488,20,16728
4095,4095,13585,-1488,20,16728
4095,4095,13586,-1462,-50,16712
4095,4095,13586,-1462,-50,16712
4095,4095,13587,-1452,-14,16692
4095,4095,13587,-1452,-14,16692
4095,4095,13588,-1424,2,16802
4095,4095,13588,-1424,2,16802
4095,4095,13589,-1472,-20,16826
4095,4095,13589,-1472,-20,16826
4095,4095,13590,-1428,-58,16680
4095,4095,13590,-1428,-58,16680
4095,4095,13591,-1492,-14,16648
4095,4095,13591,-1492,-14,16648
4095,4095,13592,-1462,-18,16580
4095,4095,13592,-1462,-18,16580
4095,4095,13593,-1488,-2,16616
